id	name
1	Triple Slash
2	Confusion
3	Power Strike
4	Dash
5	Double Sonic Slash
6	Sonic Blaster
7	Sonic Storm
8	Sonic Focus
9	Sonic Buster
10	Summon Storm Cubic
11	Trick
12	Switch
13	Summon Siege Golem
15	Charm
16	Mortal Blow
17	Force Burst
18	Aura of Hate
19	Double Shot
21	Poison Recovery
22	Summon Vampiric Cubic
24	Burst Shot
25	Summon Mechanic Golem
27	Unlock
28	Aggression
29	Iron Punch
30	Backstab
33	Summon Phantom Cubic
34	Bandage
35	Force Storm
36	Whirlwind
42	Sweeper
44	Remedy
45	Divine Heal
46	Life Scavenge
48	Thunder Storm
49	Holy Strike
50	Focused Force
51	Lure
54	Force Blaster
56	Power Shot
58	Elemental Heal
60	Fake Death
61	Cure Bleeding
65	Horror
67	Summon Life Cubic
69	Sacrifice
70	Drain Health
72	Iron Will
75	Detect Insect Weakness
76	Bear Spirit Totem
77	Attack Aura
78	War Cry
80	Detect Beast Weakness
81	Punch of Doom
82	Majesty
83	Wolf Spirit Totem
84	Poison Blade Dance
86	Reflect Damage
87	Detect Animal Weakness
88	Detect  Dragon Weakness
91	Defense Aura
92	Shield Stun
94	Rage
95	Cripple
96	Bleed
97	Sanctuary
98	Sword Symphony
99	Rapid Shot
100	Stun Attack
101	Stunning Shot
102	Entangle
103	Corpse Plague
104	Detect Plant Weakness
105	Freezing Strike
106	Veil
107	Holy Aura
109	Ogre Spirit Totem
110	Ultimate Defense
111	Ultimate Evasion
112	Deflect Arrow
113	Long Shot
115	Power Break
116	Howl
118	Magician's Movement
120	Stunning Fist
121	Battle Roar
122	Hex
123	Spirit Barrier
127	Hamstring
129	Poison
130	Thrill Fight
131	Hawk Eye
134	Toughness
137	Critical Chance
139	Guts
141	Weapon Mastery
142	Armor Mastery
143	Cubic Mastery
144	Dual Weapon Mastery
146	Anti Magic
147	Magic Resistance
148	Vital Force
150	Weight Limit
153	Shield Mastery
163	Spellcraft
164	Quick Recovery
165	Trade
168	Boost Attack Speed
169	Quick Step
171	Esprit
172	Create Item
173	Acrobatics
176	Frenzy
181	Revival
190	Fatal Strike
191	Focus Mind
193	Critical Power
194	Lucky
195	Breath Boost
196	Holy Blade
197	Holy Armor
198	Boost Evasion
205	Blunt Mastery
208	Bow Mastery
209	Dagger Mastery
210	Fist Mastery
211	Boost HP
212	Fast HP Recovery
213	Boost Mana
214	Mana Recovery
216	Polearm Mastery
217	Sword Blunt Mastery
221	Silent Move
222	Fist Fury
223	Sting
225	Acrobatic Move
226	Relax
227	Light Armor Mastery
228	Fast Spell Casting
229	Fast Mana Recovery
230	Sprint
231	Heavy Armor Mastery
232	Heavy Armor Mastery
233	Light Armor Mastery
234	Robe Mastery
235	Robe Mastery
236	Light Armor Mastery
239	Expertise D
239	Expertise C
239	Expertise B
239	Expertise A
239	Expertise S
244	Armor Mastery
245	Wild Sweep
246	Seal of Ruler
247	Build Headquarters
248	Crystallize
